iter	Passed	Remaining
420	952	1309
421	953	1306
422	954	1302
423	955	1298
424	956	1293
425	958	1291
426	963	1292
427	964	1288
428	965	1285
429	969	1284
430	970	1281
431	971	1277
432	975	1277
433	977	1275
434	979	1271
435	980	1268
436	981	1264
437	982	1260
438	983	1256
439	984	1252
440	989	1254
441	991	1251
442	992	1247
443	993	1244
444	994	1240
445	995	1236
446	996	1233
447	998	1230
448	999	1226
449	1004	1227
450	1006	1225
451	1008	1222
452	1009	1219
453	1010	1215
454	1011	1211
455	1012	1207
456	1013	1203
457	1014	1200
458	1018	1201
459	1020	1198
460	1022	1194
461	1023	1191
462	1024	1187
463	1024	1184
464	1026	1180
465	1027	1177
466	1028	1173
467	1029	1169
468	1033	1170
469	1035	1167
470	1036	1164
471	1037	1160
472	1038	1157
473	1039	1153
474	1040	1150
475	1041	1146
476	1042	1143
477	1043	1139
478	1044	1136
479	1049	1137
480	1051	1134
481	1052	1130
482	1053	1127
483	1054	1124
484	1055	1120
485	1056	1117
486	1057	1113
487	1058	1110
488	1059	1107
489	1063	1107
490	1065	1104
491	1066	1101
492	1067	1098
493	1068	1094
494	1070	1091
495	1071	1088
496	1072	1084
497	1072	1081
498	1073	1078
499	1074	1074
500	1079	1075
501	1081	1072
502	1082	1070
503	1084	1067
504	1086	1064
505	1087	1061
506	1088	1057
507	1089	1054
508	1089	1051
509	1093	1050
510	1095	1048
511	1096	1045
512	1098	1042
513	1099	1039
514	1100	1035
515	1100	1032
516	1101	1029
517	1102	1026
518	1103	1023
519	1104	1019
520	1109	1019
521	1111	1017
522	1112	1014
523	1113	1011
524	1114	1008
525	1115	1005
526	1116	1002
527	1117	998
528	1118	995
529	1119	992
530	1120	989
531	1124	989
532	1126	986
533	1127	983
534	1128	980
535	1129	977
536	1130	974
537	1131	971
538	1132	968
539	1133	965
540	1134	962
541	1134	959
542	1138	958
543	1140	955
544	1141	952
545	1142	950
546	1143	947
547	1144	944
548	1145	941
549	1146	938
550	1147	935
551	1148	932
552	1149	929
553	1153	928
554	1155	926
555	1156	923
556	1157	920
557	1158	917
558	1159	914
559	1160	911
560	1161	908
561	1162	905
562	1163	902
563	1164	899
564	1165	897
565	1169	896
566	1170	893
567	1171	891
568	1172	888
569	1173	885
570	1174	882
571	1175	879
572	1176	876
573	1177	873
574	1178	870
575	1179	867
576	1180	865
577	1182	863
578	1183	860
579	1184	857
580	1185	854
581	1186	851
582	1187	849
583	1188	846
584	1188	843
585	1189	840
586	1190	837
587	1191	835
588	1192	832
589	1193	829
590	1195	827
591	1196	824
592	1197	821
593	1198	819
594	1199	816
595	1200	813
596	1201	810
597	1202	808
598	1203	805
599	1204	802
600	1205	800
601	1206	797
602	1207	794
603	1208	792
604	1209	789
605	1210	787
606	1211	784
607	1212	781
608	1213	779
609	1214	776
610	1215	773
611	1216	771
612	1217	768
613	1218	765
614	1219	763
615	1220	760
616	1221	758
617	1222	755
618	1223	752
619	1224	750
620	1225	747
621	1226	745
622	1227	742
623	1228	740
624	1229	737
625	1230	734
626	1230	732
627	1231	729
628	1232	727
629	1233	724
630	1234	722
631	1235	719
632	1236	716
633	1237	714
634	1238	711
635	1239	709
636	1240	706
637	1241	704
638	1242	701
639	1243	699
640	1244	696
641	1245	694
642	1246	691
643	1247	689
644	1247	686
645	1249	684
646	1250	682
647	1251	679
648	1252	677
649	1253	674
650	1254	672
651	1255	669
652	1256	667
653	1257	665
654	1258	662
655	1258	660
656	1259	657
657	1260	655
658	1261	652
659	1262	650
660	1263	648
661	1264	645
662	1265	643
663	1266	641
664	1267	638
665	1268	636
666	1269	633
667	1270	631
668	1271	629
669	1272	626
670	1273	624
671	1274	622
672	1275	619
673	1276	617
674	1277	615
675	1278	612
676	1279	610
677	1280	608
678	1281	605
679	1282	603
680	1283	601
681	1284	598
682	1285	596
683	1285	594
684	1286	591
685	1287	589
686	1288	586
687	1289	584
688	1289	582
689	1290	579
690	1291	577
691	1292	575
692	1293	572
693	1294	570
694	1294	568
695	1295	565
696	1296	563
697	1297	561
698	1298	558
699	1298	556
700	1299	554
701	1300	552
702	1301	549
703	1302	547
704	1303	545
705	1303	542
706	1304	540
707	1305	538
708	1306	536
709	1306	533
710	1307	531
711	1308	529
712	1309	527
713	1310	524
714	1310	522
715	1311	520
716	1312	518
717	1313	515
718	1314	513
719	1315	511
720	1315	509
721	1316	506
722	1317	504
723	1318	502
724	1319	500
725	1320	498
726	1321	496
727	1321	493
728	1322	491
729	1323	489
730	1324	487
731	1325	485
732	1326	483
733	1326	480
734	1327	478
735	1328	476
736	1329	474
737	1330	472
738	1330	470
739	1331	467
740	1332	465
741	1333	463
742	1335	461
743	1336	459
744	1338	458
745	1339	456
746	1340	454
747	1341	451
748	1342	449
749	1343	447
750	1344	445
751	1345	443
752	1346	441
753	1347	439
754	1348	437
755	1348	435
756	1349	433
757	1350	431
758	1351	429
759	1351	426
760	1352	424
761	1353	422
762	1354	420
763	1355	418
764	1356	416
765	1356	414
766	1358	412
767	1359	410
768	1360	408
769	1361	406
770	1361	404
771	1362	402
772	1363	400
773	1364	398
774	1365	396
775	1365	394
776	1366	392
777	1367	390
778	1368	388
779	1369	386
780	1369	384
781	1370	382
782	1371	380
783	1372	378
784	1373	376
785	1375	374
786	1376	372
787	1376	370
788	1377	368
789	1378	366
790	1379	364
791	1380	362
792	1381	360
793	1381	358
794	1382	356
795	1383	354
796	1384	352
797	1385	350
798	1386	348
799	1387	346
800	1388	344
801	1389	343
802	1390	341
803	1393	339
804	1393	337
805	1394	335
806	1395	333
807	1396	331
808	1397	329
809	1397	327
810	1398	325
811	1399	324
812	1400	322
813	1401	320
814	1403	318
815	1404	316
816	1405	314
817	1405	312
818	1406	310
819	1407	308
820	1408	307
821	1408	305
822	1409	303
823	1410	301
824	1411	299
825	1412	297
826	1412	295
827	1413	293
828	1414	291
829	1415	289
830	1416	288
831	1418	286
832	1419	284
833	1420	282
834	1421	280
835	1422	278
836	1422	277
837	1423	275
838	1424	273
839	1425	271
840	1426	269
841	1426	267
842	1427	265
843	1428	264
844	1429	262
845	1430	260
846	1431	258
847	1433	256
848	1434	255
849	1435	253
850	1435	251
851	1436	249
852	1437	247
853	1438	245
854	1438	244
855	1439	242
856	1440	240
857	1441	238
858	1443	236
859	1444	235
860	1445	233
861	1446	231
862	1446	229
863	1447	227
864	1448	226
865	1449	224
866	1450	222
867	1451	220
868	1452	218
869	1452	217
870	1453	215
871	1454	213
872	1455	211
873	1456	210
874	1457	208
875	1458	206
876	1459	204
877	1460	202
878	1461	201
879	1462	199
880	1463	197
881	1464	195
882	1465	194
883	1465	192
884	1466	190
885	1467	188
886	1468	187
887	1469	185
888	1470	183
889	1471	181
890	1472	180
891	1473	178
892	1474	176
893	1474	174
894	1475	173
895	1476	171
896	1477	169
897	1478	167
898	1478	166
899	1479	164
900	1480	162
901	1481	160
902	1482	159
903	1483	157
904	1484	155
905	1485	154
906	1486	152
907	1487	150
908	1488	149
909	1490	147
910	1491	145
911	1492	144
912	1493	142
913	1494	140
914	1496	139
915	1498	137
916	1499	135
917	1499	133
918	1500	132
919	1501	130
920	1502	128
921	1503	127
922	1503	125
923	1505	123
924	1506	122
925	1507	120
926	1508	118
927	1510	117
928	1511	115
929	1512	113
930	1512	112
931	1513	110
932	1514	108
933	1515	107
934	1516	105
935	1516	103
936	1517	102
937	1518	100
938	1519	98
939	1520	97
940	1521	95
941	1522	93
942	1523	92
943	1524	90
944	1525	88
945	1525	87
946	1526	85
947	1527	83
948	1528	82
949	1529	80
950	1529	78
951	1530	77
952	1531	75
953	1532	73
954	1533	72
955	1534	70
956	1534	68
957	1535	67
958	1537	65
959	1538	64
960	1538	62
961	1539	60
962	1540	59
963	1541	57
964	1542	55
965	1543	54
966	1543	52
967	1544	51
968	1545	49
969	1546	47
970	1547	46
971	1548	44
972	1548	42
973	1549	41
974	1550	39
975	1551	38
976	1552	36
977	1553	34
978	1554	33
979	1554	31
980	1555	30
981	1556	28
982	1557	26
983	1558	25
984	1558	23
985	1559	22
986	1560	20
987	1561	18
988	1562	17
989	1562	15
990	1564	14
991	1565	12
992	1566	11
993	1567	9
994	1567	7
995	1568	6
996	1569	4
997	1570	3
998	1571	1
999	1571	0
